-4064, -2318, -282, 14716, -107, 3812
-4216, -2301, -89, 14577, -852, 3603
-4391, -2206, 82, 10957, -1786, 2613
-4539, -2251, 181, 7184, -2792, 1412
-4690, -2409, 218, 5760, -2751, 506
-4904, -2541, 214, 5528, -2760, -366
-5132, -2652, 191, 5570, -3386, -1243
-5353, -2766, 169, 6071, -3787, -1648
-5602, -2911, 203, 7560, -4087, -1689
-5918, -3042, 293, 9146, -5027, -2189
-6277, -3054, 416, 9635, -7505, -3689
-6648, -2972, 507, 8895, -10457, -5070
-6998, -2737, 465, 6763, -13831, -6786
-7180, -2329, 265, 2180, -17309, -9633
-7141, -1843, -55, -3346, -19421, -12722
-6956, -1358, -520, -8358, -19975, -15418
-6559, -979, -1169, -11190, -18617, -16525
-5950, -721, -1852, -10324, -15000, -15267
-5290, -524, -2458, -6645, -10519, -13136
-4677, -267, -2940, -1848, -6769, -11373
-4134, 68, -3226, 1577, -4126, -9828
-3673, 426, -3301, 3139, -1125, -7936
-3290, 851, -3170, 3236, 1336, -6320
-2969, 1361, -2840, 2887, 2737, -4677
-2681, 1978, -2292, 3024, 3832, -2185
-2455, 2671, -1485, 4792, 4496, 2891
-2353, 3416, -470, 6979, 5984, 9374
-2542, 4031, 843, 9745, 8164, 15175
-3260, 4378, 2405, 12239, 7865, 20821
-4310, 4405, 4068, 12422, 5716, 24463
-5587, 4271, 5553, 9135, 2054, 25216
-6807, 3848, 6656, 2571, -2152, 24071
-7878, 3075, 7364, -3731, -4098, 22814
-8804, 1823, 7871, -7897, -5244, 21486
-9612, 240, 8119, -9999, -7525, 18718
-10211, -1431, 8059, -10101, -12023, 14117
-10504, -2797, 7619, -9738, -16989, 7740
-10543, -3580, 6742, -10271, -20837, 774
-10237, -3915, 5536, -12101, -22364, -3171
-9627, -4073, 4109, -14327, -22767, -5456
-8767, -4164, 2637, -15686, -21162, -8348
-7836, -4160, 1239, -15454, -18684, -11761
-6902, -4033, -35, -14282, -16163, -14491
-5904, -3827, -1136, -11663, -12377, -15603
-5016, -3575, -1993, -10023, -8304, -16203
-4365, -3297, -2599, -9125, -5114, -17883
-3951, -3030, -3018, -7379, -2685, -20212
-3689, -2689, -3292, -4067, -1152, -22264
-3484, -2193, -3483, -781, -162, -23236
-3216, -1581, -3655, 1333, 1011, -22009
-2854, -977, -3711, 2083, 4307, -18774
